Aluguel,Extras,Localização,Tamanho,Quartos,Banheiros,Bairro
R$ 2.500 /mês,500.0,"Rua Teotônio Freire, 75 - Ribeira, Natal - RN",78,3 Quartos,2 Banheiros,Ribeira
R$ 2.800 /mês,0.0,"Rua do Golfinho - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,Ponta Negra
"R$ 880 /mês
Preço abaixo do mercado",320.0,"Rua Minas Novas, 225 - Neópolis, Natal - RN",60,2 Quartos,1 Banheiro,Neópolis
R$ 2.199 /mês,0.0,"Capim Macio, Natal - RN",68,3 Quartos,1 Banheiro,Capim Macio
"R$ 1.400 /mês
Preço abaixo do mercado",324.0,"Rua Joaquim Eduardo de Farias - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.000 /mês,0.0,"Rua Praia de Camurupim, 8968 - Ponta Negra, Natal - RN",40,1 Quarto,1 Banheiro,Ponta Negra
R$ 1.500 /mês,450.0,"Rua Comerciário Carlos Serrano, 2003 - Lagoa Nova, Natal - RN",62,2 Quartos,1 Banheiro,Lagoa Nova
R$ 2.400 /mês,0.0,"Rua Alberto Maranhão - Tirol, Natal - RN",75,3 Quartos,2 Banheiros,Tirol
"R$ 2.500 /mês
Preço abaixo do mercado",0.0,"Avenida Praia de Ponta Negra - Ponta Negra, Natal - RN",58,2 Quartos,1 Banheiro,Ponta Negra
R$ 1.600 /mês,0.0,"Ribeira, Natal - RN",56,2 Quartos,1 Banheiro,Ribeira
R$ 2.000 /mês,0.0,"Avenida dos Caiapós, 1945 - Pitimbu, Natal - RN",51,2 Quartos,1 Banheiro,Pitimbu
R$ 1.800 /mês,300.0,"Candelária, Natal - RN",56,2 Quartos,2 Banheiros,Candelária
R$ 1.100 /mês,0.0,"Rua Santa Rita, 135 - Ponta Negra, Natal - RN",46,2 Quartos,1 Banheiro,Ponta Negra
R$ 1.600 /mês,350.0,"Lagoa Nova, Natal - RN",36,1 Quarto,1 Banheiro,Lagoa Nova
R$ 2.200 /mês,0.0,"Petrópolis, Natal - RN",56,2 Quartos,2 Banheiros,Petrópolis
R$ 2.000 /mês,0.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",54,2 Quartos,1 Banheiro,Ponta Negra
R$ 1.700 /mês,0.0,"Rua São José, 2026 - Lagoa Nova, Natal - RN",78,3 Quartos,2 Banheiros,Lagoa Nova
R$ 2.199 /mês,0.0,"Capim Macio, Natal - RN",68,3 Quartos,1 Banheiro,Capim Macio
R$ 1.400 /mês,0.0,"Rua Minas Novas, 225 - Neópolis, Natal - RN",56,2 Quartos,1 Banheiro,Neópolis
R$ 2.000 /mês,0.0,"Rua Edson Teixeira da Silva, 1 - Ponta Negra, Natal - RN",46,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.400 /mês,1.0,"Avenida Engenheiro Roberto Freire, 43 - Ponta Negra, Natal - RN",44,1 Quarto,1 Banheiro,Ponta Negra
R$ 1.100 /mês,0.0,"Rua Abreulândia, 6637 - Planalto, Natal - RN",45,2 Quartos,1 Banheiro,Planalto
R$ 2.050 /mês,0.0,"Avenida Deputado Antônio Florêncio de Queiroz - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.200 /mês,0.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",73,3 Quartos,2 Banheiros,Capim Macio
R$ 1.200 /mês,0.0,"Rua dos Pajeús - Alecrim, Natal - RN",54,2 Quartos,1 Banheiro,Alecrim
R$ 1.350 /mês,0.0,"Avenida Poços de Caldas, 2035 - Ponta Negra, Natal - RN",45,2 Quartos,1 Banheiro,Ponta Negra
R$ 2.950 /mês,0.0,"Rua Lúcia Viveiros, 649 - Neópolis, Natal - RN",72,3 Quartos,2 Banheiros,Neópolis
R$ 2.000 /mês,0.0,"Rua Desembargador Dionísio Filgueira, 777 - Petrópolis, Natal - RN",56,2 Quartos,2 Banheiros,Petrópolis
R$ 950 /mês,0.0,"Avenida Odilon Gomes de Lima, 1920 - Capim Macio, Natal - RN",45,1 Quarto,1 Banheiro,Capim Macio
R$ 1.300 /mês,370.0,"Rua Edson Teixeira da Silva - Ponta Negra, Natal - RN",55,2 Quartos,1 Banheiro,Ponta Negra
R$ 1.900 /mês,380.0,"Rua Edson Teixeira da Silva, 270 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.700 /mês,0.0,"Rua Vereador Manoel Sátiro - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,Ponta Negra
"R$ 2.000 /mês
Preço abaixo do mercado",0.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.300 /mês,0.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",75,3 Quartos,2 Banheiros,Capim Macio
R$ 2.750 /mês,0.0,"Avenida Praia de Ponta Negra, 9152 - Ponta Negra, Natal - RN",40,1 Quarto,1 Banheiro,Ponta Negra
R$ 3.000 /mês,0.0,"Rua Desportista Fabrício Gomes Pedroza, 70 - Ponta Negra, Natal - RN",57,2 Quartos,2 Banheiros,Ponta Negra
R$ 1.950 /mês,0.0,"Rua da Lagosta - Ponta Negra, Natal - RN",52,2 Quartos,2 Banheiros,Ponta Negra
R$ 1.950 /mês,0.0,"Rua Joaquim Eduardo de Farias, 213 - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.800 /mês,0.0,"Rua Jornalista Francisco Sinedino, 1140 - Lagoa Nova, Natal - RN",58,2 Quartos,2 Banheiros,Lagoa Nova
R$ 1.450 /mês,310.0,"Rua Joaquim Eduardo de Farias, 209 - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,Ponta Negra
R$ 900 /mês,130.0,"Rua Prefeito Expedito Alves, 1524 - Capim Macio, Natal - RN",55,3 Quartos,2 Banheiros,Capim Macio
"R$ 1.700 /mês
Preço abaixo do mercado",0.0,"Rua Edson Teixeira da Silva - Ponta Negra, Natal - RN",50,2 Quartos,1 Banheiro,Ponta Negra
R$ 2.800 /mês,0.0,"Ponta Negra, Natal - RN",60,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.500 /mês,0.0,"Rua Edson Teixeira da Silva, 270 - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,Ponta Negra
R$ 1.750 /mês,660.0,"Tirol, Natal - RN",55,2 Quartos,2 Banheiros,Tirol
R$ 1.590 /mês,0.0,"Rua da Ametista, 32 - Lagoa Nova, Natal - RN",42,1 Quarto,1 Banheiro,Lagoa Nova
R$ 550 /mês,60.0,"Rua São Vicente, 30 - Alecrim, Natal - RN",35,1 Quarto,1 Banheiro,Alecrim
R$ 3.000 /mês,0.0,"Rua Estudante José Francisco de Souza Filho, 245 - Capim Macio, Natal - RN",74,3 Quartos,1 Banheiro,Capim Macio
R$ 2.300 /mês,0.0,"Rua Doutor Múcio Galvão, 0 - Barro Vermelho, Natal - RN",56,2 Quartos,1 Banheiro,Barro Vermelho
R$ 2.000 /mês,0.0,"Avenida Almirante Alexandrino de Alencar, 900 - Lagoa Seca, Natal - RN",50,2 Quartos,1 Banheiro,Lagoa Seca
R$ 2.600 /mês,1.0,"Avenida Engenheiro Roberto Freire, 21 - Ponta Negra, Natal - RN",60,2 Quartos,2 Banheiros,Ponta Negra
R$ 850 /mês,0.0,"Rua Trovador Carlos Homem de Siqueira - Pajuçara, Natal - RN",40,2 Quartos,1 Banheiro,Pajuçara
R$ 1.700 /mês,380.0,"Rua Edson Teixeira da Silva - Ponta Negra, Natal - RN",46,2 Quartos,1 Banheiro,Ponta Negra
R$ 2.800 /mês,0.0,"Rua Ipanguaçu, 1500 - Tirol, Natal - RN",57,2 Quartos,2 Banheiros,Tirol
R$ 2.900 /mês,0.0,"Rua Jundiaí, 400 - Tirol, Natal - RN",57,2 Quartos,2 Banheiros,Tirol
R$ 1.200 /mês,250.0,"Avenida dos Pinheirais - Neópolis, Natal - RN",70,2 Quartos,1 Banheiro,Neópolis
R$ 3.500 /mês,0.0,"Rua Francisco Maia Sobrinho, 34667 - Lagoa Nova, Natal - RN",109,2 Quartos,3 Banheiros,Lagoa Nova
R$ 1.400 /mês,0.0,"Rua Teca Sales, 3456 - Candelária, Natal - RN",68,3 Quartos,2 Banheiros,Candelária
R$ 1.500 /mês,0.0,"Avenida dos Caiapós, 234 - Pitimbu, Natal - RN",50,2 Quartos,1 Banheiro,Pitimbu
R$ 1.800 /mês,550.0,"Rua dos Pintassilgos, 70 - Pitimbu, Natal - RN",57,2 Quartos,2 Banheiros,Pitimbu
R$ 3.000 /mês,0.0,"Avenida Estrela do Mar, 2155 - Ponta Negra, Natal - RN",40,1 Quarto,1 Banheiro,Ponta Negra
R$ 1.300 /mês,0.0,"Rua Gramado, 32 - Cidade da Esperança, Natal - RN",44,2 Quartos,1 Banheiro,Cidade da Esperança
R$ 3.000 /mês,0.0,"Avenida das Alagoas, 300 - Neópolis, Natal - RN",67,3 Quartos,2 Banheiros,Neópolis
R$ 3.200 /mês,0.0,"Rua das Algas - Ponta Negra, Natal - RN",49,2 Quartos,1 Banheiro,Ponta Negra
R$ 5.800 /mês,0.0,"Rua Nossa Senhora de Lourdes, 1009 - Tirol, Natal - RN",115,3 Quartos,4 Banheiros,Tirol
R$ 950 /mês,0.0,"Rua Lectícia Garcia, 265 - Neópolis, Natal - RN",50,2 Quartos,1 Banheiro,Neópolis
R$ 1.850 /mês,0.0,"Rua Desportista Jeremias Pinheiro da Câmara Filho, 270 - Ponta Negra, Natal - RN",55,2 Quartos,1 Banheiro,Ponta Negra
R$ 1.100 /mês,0.0,"Praça Marechal Deodoro, 647 - Tirol, Natal - RN",50,2 Quartos,1 Banheiro,Tirol
"R$ 1.900 /mês
Preço abaixo do mercado",1.0,"Rua Pastor Gabino Brelaz, 1419 - Capim Macio, Natal - RN",80,2 Quartos,2 Banheiros,Capim Macio
"R$ 1.700 /mês
Preço abaixo do mercado",0.0,"Rua das Algas, 2249 - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.500 /mês,0.0,"Rua Doutor Osvaldo Fortes do Rego, 155 - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,Ponta Negra
R$ 3.400 /mês,0.0,"Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.300 /mês,0.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.200 /mês,0.0,"Rua Samaria, 3632 - Candelária, Natal - RN",80,2 Quartos,2 Banheiros,Candelária
R$ 2.000 /mês,0.0,"Rua Afonso Magalhães, 84 - Ponta Negra, Natal - RN",45,1 Quarto,1 Banheiro,Ponta Negra
R$ 1.800 /mês,0.0,"Capim Macio, Natal - RN",56,2 Quartos,2 Banheiros,Capim Macio
R$ 2.500 /mês,0.0,"Tirol, Natal - RN",70,3 Quartos,2 Banheiros,Tirol
R$ 2.500 /mês,0.0,"Rua Historiador Francisco Fausto de Souza, 3445 - Capim Macio, Natal - RN",55,2 Quartos,1 Banheiro,Capim Macio
R$ 1.600 /mês,650.0,"Lagoa Seca, Natal - RN",114,3 Quartos,3 Banheiros,Lagoa Seca
R$ 2.300 /mês,0.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",76,3 Quartos,1 Banheiro,Capim Macio
R$ 2.200 /mês,0.0,"Avenida Porto de Pedras, 4500 - Neópolis, Natal - RN",56,2 Quartos,2 Banheiros,Neópolis
R$ 2.500 /mês,0.0,"Rua das Perdizes, 7979 - Pitimbu, Natal - RN",56,2 Quartos,2 Banheiros,Pitimbu
R$ 1.750 /mês,0.0,"Rua Edson Teixeira da Silva, 270 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,Ponta Negra
R$ 1.500 /mês,0.0,"Avenida Doutor João Medeiros Filho, 5100 - Redinha, Natal - RN",54,2 Quartos,2 Banheiros,Redinha
R$ 3.000 /mês,580.0,"Rua Demócrito de Souza Paiva, 818 - Lagoa Nova, Natal - RN",70,3 Quartos,2 Banheiros,Lagoa Nova
R$ 3.900 /mês,790.0,"Avenida Governador Sílvio Pedroza - Areia Preta, Natal - RN",70,1 Quarto,2 Banheiros,Areia Preta
R$ 2.800 /mês,500.0,"Rua Teotônio Freire, 75 - Ribeira, Natal - RN",75,3 Quartos,2 Banheiros,Ribeira
R$ 2.300 /mês,1.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",65,3 Quartos,1 Banheiro,Capim Macio
R$ 1.380 /mês,0.0,"Avenida Olavo Lacerda Montenegro - PARNAMIRIM, Parnamirim - RN",56,2 Quartos,2 Banheiros,PARNAMIRIM
R$ 2.100 /mês,1.0,"Rua Aurélio Pinheiro, 637 - Barro Vermelho, Natal - RN",60,2 Quartos,2 Banheiros,Barro Vermelho
R$ 1.900 /mês,0.0,"Rua General Gustavo Cordeiro de Faria, 345 - Petrópolis, Natal - RN",55,2 Quartos,2 Banheiros,Petrópolis
R$ 1.200 /mês,0.0,"Avenida dos Pinheirais - Neópolis, Natal - RN",50,1 Quarto,1 Banheiro,Neópolis
R$ 3.500 /mês,0.0,"Rua Francisco Maia Sobrinho, 34667 - Lagoa Nova, Natal - RN",68,3 Quartos,1 Banheiro,Lagoa Nova
R$ 1.400 /mês,0.0,"Rua Teca Sales, 3456 - Candelária, Natal - RN",60,2 Quartos,2 Banheiros,Candelária
R$ 1.500 /mês,0.0,"Avenida dos Caiapós, 234 - Pitimbu, Natal - RN",46,2 Quartos,1 Banheiro,Pitimbu
"R$ 1.900 /mês
Preço abaixo do mercado",0.0,"Rua Pastor Gabino Brelaz, 1419 - Capim Macio, Natal - RN",67,2 Quartos,2 Banheiros,Capim Macio
R$ 1.800 /mês,0.0,"Rua dos Pintassilgos, 70 - Pitimbu, Natal - RN",48,2 Quartos,1 Banheiro,Pitimbu
R$ 2.300 /mês,0.0,"Rua Doutor Múcio Galvão, 411 - Barro Vermelho, Natal - RN",35,1 Quarto,1 Banheiro,Barro Vermelho
R$ 3.000 /mês,0.0,"Avenida Estrela do Mar, 2155 - Ponta Negra, Natal - RN",33,1 Quarto,1 Banheiro,Ponta Negra
R$ 1.300 /mês,100.0,"Rua Gramado, 32 - Cidade da Esperança, Natal - RN",55,2 Quartos,2 Banheiros,Cidade da Esperança
R$ 3.000 /mês,0.0,"Avenida das Alagoas, 300 - Neópolis, Natal - RN",55,2 Quartos,2 Banheiros,Neópolis
R$ 2.500 /mês,290.0,"Rua das Perdizes, 7979 - Pitimbu, Natal - RN",69,3 Quartos,2 Banheiros,Pitimbu
R$ 3.200 /mês,0.0,"Rua das Algas - Ponta Negra, Natal - RN",57,2 Quartos,2 Banheiros,Ponta Negra
R$ 5.800 /mês,0.0,"Rua Nossa Senhora de Lourdes, 1009 - Tirol, Natal - RN",50,2 Quartos,2 Banheiros,Tirol
R$ 950 /mês,0.0,"Rua Lectícia Garcia, 265 - Neópolis, Natal - RN",47,2 Quartos,1 Banheiro,Neópolis
R$ 1.850 /mês,458.0,"Rua Desportista Jeremias Pinheiro da Câmara Filho, 270 - Ponta Negra, Natal - RN",98,3 Quartos,2 Banheiros,Ponta Negra
R$ 1.100 /mês,0.0,"Praça Marechal Deodoro, 647 - Tirol, Natal - RN",56,2 Quartos,1 Banheiro,Tirol
"R$ 1.700 /mês
Preço abaixo do mercado",0.0,"Rua das Algas, 2249 - Ponta Negra, Natal - RN",54,1 Quarto,2 Banheiros,Ponta Negra
R$ 2.500 /mês,0.0,"Rua Doutor Osvaldo Fortes do Rego, 155 - Ponta Negra, Natal - RN",68,3 Quartos,1 Banheiro,Ponta Negra
R$ 3.400 /mês,363.0,"Ponta Negra, Natal - RN",57,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.300 /mês,0.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",65,2 Quartos,2 Banheiros,Ponta Negra
R$ 2.200 /mês,1.0,"Rua Samaria, 3632 - Candelária, Natal - RN",50,2 Quartos,1 Banheiro,Candelária
R$ 2.000 /mês,0.0,"Rua Afonso Magalhães, 84 - Ponta Negra, Natal - RN",40,1 Quarto,1 Banheiro,Ponta Negra
R$ 1.800 /mês,0.0,"Capim Macio, Natal - RN",57,2 Quartos,2 Banheiros,Capim Macio
R$ 2.500 /mês,0.0,"Tirol, Natal - RN",50,2 Quartos,1 Banheiro,Tirol
R$ 2.500 /mês,0.0,"Rua Historiador Francisco Fausto de Souza, 3445 - Capim Macio, Natal - RN",75,3 Quartos,2 Banheiros,Capim Macio
R$ 1.600 /mês,0.0,"Lagoa Seca, Natal - RN",46,2 Quartos,1 Banheiro,Lagoa Seca
R$ 2.300 /mês,650.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",58,2 Quartos,2 Banheiros,Capim Macio
R$ 2.200 /mês,0.0,"Avenida Porto de Pedras, 4500 - Neópolis, Natal - RN",30,1 Quarto,1 Banheiro,Neópolis
R$ 1.750 /mês,0.0,"Rua Edson Teixeira da Silva, 270 - Ponta Negra, Natal - RN",59,2 Quartos,2 Banheiros,Ponta Negra
R$ 1.500 /mês,0.0,"Avenida Doutor João Medeiros Filho, 5100 - Redinha, Natal - RN",55,2 Quartos,2 Banheiros,Redinha
R$ 3.000 /mês,0.0,"Rua Demócrito de Souza Paiva, 818 - Lagoa Nova, Natal - RN",56,2 Quartos,3 Banheiros,Lagoa Nova
R$ 3.900 /mês,0.0,"Avenida Governador Sílvio Pedroza - Areia Preta, Natal - RN",55,2 Quartos,2 Banheiros,Areia Preta
R$ 2.800 /mês,0.0,"Rua Teotônio Freire, 75 - Ribeira, Natal - RN",45,1 Quarto,1 Banheiro,Ribeira
R$ 2.300 /mês,350.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",48,1 Quarto,1 Banheiro,Capim Macio
R$ 1.380 /mês,0.0,"Avenida Olavo Lacerda Montenegro - PARNAMIRIM, Parnamirim - RN",60,2 Quartos,2 Banheiros,PARNAMIRIM
R$ 2.100 /mês,0.0,"Rua Aurélio Pinheiro, 637 - Barro Vermelho, Natal - RN",59,2 Quartos,2 Banheiros,Barro Vermelho
R$ 2.200 /mês,0.0,"Avenida Capitão-mor Gouveia, 1135 - Nossa Senhora de Nazaré, Natal - RN",70,2 Quartos,1 Banheiro,Nossa Senhora de Nazaré
R$ 2.500 /mês,0.0,"Rua Doutor Manoel Augusto Bezerra de Araújo, 230 - Ponta Negra, Natal - RN",56,2 Quartos,1 Banheiro,Ponta Negra
R$ 2.100 /mês,0.0,"Capim Macio, Natal - RN",84,3 Quartos,1 Banheiro,Capim Macio
R$ 1.400 /mês,0.0,"Neópolis, Natal - RN",56,2 Quartos,1 Banheiro,Neópolis
R$ 1.950 /mês,0.0,"Rua Sérgio Severo, 1341 - Lagoa Nova, Natal - RN",56,2 Quartos,1 Banheiro,Lagoa Nova
R$ 1.000 /mês,350.0,"Rua Manoel Alves - Ponta Negra, Natal - RN",58,2 Quartos,1 Banheiro,Ponta Negra
R$ 1.600 /mês,0.0,"Vila Gerda Maria, 1493 - Lagoa Nova, Natal - RN",50,1 Quarto,1 Banheiro,Lagoa Nova
R$ 2.700 /mês,0.0,"Rua Barão de Lucena, 62 - Pitimbu, Natal - RN",70,3 Quartos,2 Banheiros,Pitimbu
R$ 2.200 /mês,0.0,"Rua Samaria, 3632 - Candelária, Natal - RN",70,2 Quartos,1 Banheiro,Candelária
R$ 2.200 /mês,0.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",78,3 Quartos,2 Banheiros,Capim Macio
R$ 1.000 /mês,400.0,"Capim Macio, Natal - RN",65,2 Quartos,2 Banheiros,Capim Macio
R$ 2.200 /mês,0.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",65,3 Quartos,2 Banheiros,Capim Macio
R$ 1.300 /mês,0.0,"Rua Praia de Manibu, 8809 - Ponta Negra, Natal - RN",35,1 Quarto,1 Banheiro,Ponta Negra
R$ 3.000 /mês,0.0,"Rua Poeta Jorge Fernandes, 1 - Ponta Negra, Natal - RN",60,2 Quartos,1 Banheiro,Ponta Negra
R$ 1.900 /mês,0.0,"Ponta Negra, Natal - RN",27,1 Quarto,1 Banheiro,Ponta Negra
R$ 3.000 /mês,0.0,"Rua Lúcia Viveiros, 255 - Neópolis, Natal - RN",67,2 Quartos,2 Banheiros,Neópolis
R$ 1.450 /mês,0.0,"Avenida Poços de Caldas, 2035 - Ponta Negra, Natal - RN",60,2 Quartos,1 Banheiro,Ponta Negra
R$ 1.470 /mês,0.0,"Rua Vila do Mar, 118 - Ponta Negra, Natal - RN",47,2 Quartos,1 Banheiro,Ponta Negra
R$ 700 /mês,1000.0,"Rua Doutor Paulo Viveiros, 558 - Petrópolis, Natal - RN",70,2 Quartos,1 Banheiro,Petrópolis
R$ 1.100 /mês,0.0,"Avenida Moema Tinoco da Cunha Lima - Pajuçara, Natal - RN",41,2 Quartos,1 Banheiro,Pajuçara
R$ 1.100 /mês,0.0,"Rua Tenente Petronilo Diogo Silva, 425 - Bom Pastor, Natal - RN",55,2 Quartos,2 Banheiros,Bom Pastor
R$ 750 /mês,360.0,"Tirol, Natal - RN",50,1 Quarto,1 Banheiro,Tirol
R$ 1.900 /mês,0.0,"Avenida Almirante Alexandrino de Alencar - Lagoa Seca, Natal - RN",50,2 Quartos,1 Banheiro,Lagoa Seca
R$ 2.500 /mês,0.0,"Avenida das Brancas Dunas - Candelária, Natal - RN",55,2 Quartos,1 Banheiro,Candelária
R$ 2.200 /mês,0.0,"Rua Samaria, 3632 - Candelária, Natal - RN",113,2 Quartos,2 Banheiros,Candelária
R$ 1.400 /mês,0.0,"Travessa Presidente Mascarenhas, 53 - Alecrim, Natal - RN",50,2 Quartos,1 Banheiro,Alecrim
R$ 850 /mês,0.0,"Rua Santa Inês, 255 - Pajuçara, Natal - RN",46,2 Quartos,1 Banheiro,Pajuçara
"R$ 1.350 /mês
Preço abaixo do mercado",0.0,"Avenida Miguel Castro - Lagoa Nova, Natal - RN",65,2 Quartos,1 Banheiro,Lagoa Nova
"R$ 1.400 /mês
Preço abaixo do mercado",0.0,"Rua Alexandre Câmara - Capim Macio, Natal - RN",72,2 Quartos,2 Banheiros,Capim Macio
R$ 1.200 /mês,0.0,"Rua Geraldo Barros Pereira - Capim Macio, Natal - RN",58,1 Quarto,1 Banheiro,Capim Macio
R$ 2.600 /mês,0.0,"Rua Cabo de São Roque, 2073 - Ponta Negra, Natal - RN",60,2 Quartos,2 Banheiros,Ponta Negra
R$ 1.700 /mês,0.0,"Rua Barão de Lucena, 62 - Pitimbu, Natal - RN",58,2 Quartos,2 Banheiros,Pitimbu
"R$ 950 /mês
Preço abaixo do mercado",753.0,"Rua Alcindo Dias de Oliveira, 1855 - Capim Macio, Natal - RN",75,3 Quartos,2 Banheiros,Capim Macio
R$ 1.100 /mês,0.0,"Rua da Saudade, 1981 - Lagoa Nova, Natal - RN",29,1 Quarto,1 Banheiro,Lagoa Nova
R$ 2.200 /mês,0.0,"Rua Samaria, 3632 - Candelária, Natal - RN",113,2 Quartos,1 Banheiro,Candelária
R$ 2.600 /mês,0.0,"Avenida Prudente de Morais - Petrópolis, Natal - RN",58,1 Quarto,1 Banheiro,Petrópolis
